Year,Event Description
1960,Televised presidential debates between John F. Kennedy and Richard Nixon
1992,Tennis great Arthur Ashe announces he contracted HIV from a blood transfusion during heart surgery in 1983. Six months earlier Los Angeles Lakers star Magic Johnson also announced his HIV diagnosis
2000,Terrorist attack on the U.S.S. Cole in Yemen
1971,"The Alaskan Native Claims Settlement Act, the largest land claims act in U.S. history, was signed into law by President Nixon on December 23, 1971, giving lands to Native Alaskans in return for relinquishing rights to aboriginal lands needed for the Alaska oil pipeline project."
1984,The Apple Company releases the first Macintosh personal computer
1964,The Beatles first appear on the Ed Sullivan show
1991,The first Gulf War begins with Operation Desert Storm in January against Iraqi forces under Saddam Hussein occupying Kuwait
1983,"The Library of Congress Federal Cylinder Project begins repatriating early recordings of American Indian music, starting with a selection of Omaha songs presented at the annual powwow."
1980,"The Maine Indian Claims Settlement Agreement of 1980, signed into law on October 10, compensates American Indian tribes in Maine for lands taken from them in violation of past treaties. The money awarded to the tribes enables them to buy land, develop tribal businesses, develop educational programs, and invest for their future."
1968,"The Navajo Nation founds the Navajo Community College (later re-named Diné College), a two-year college and the first college in the U.S. created by and for American Indians. Its programs stress the use of Navajo language and the study of Navajo culture. The college enables many Navajo youths to gain education beyond high school who would not otherwise have an opportunity to do so, and also aids the transfer of graduates into four-year colleges."
1968,"The North Vietnamese forces launch the Tet Offensive, attacking key cities and provinces in South Vietnam during an agreed upon cease fire during the Tet holiday. The attack catches South Vietnamese and United States forces off guard. Although the attack is turned back, the large scale of the attack and the loss of American lives is demoralizing to the American public, already discouraged with the progress of the war."
1968,"The Reverend Dr. Martin Luther King is assassinated in Memphis, Tennessee, a day after addressing a rally in support of striking sanitary workers. Riots follow in more than 100 cities."
1983,The television film The Day After presents the potential effects of nuclear war
1980,"The Western Folklife Center is established in Elko, Nevada to preserve and present folklife of the Western United States. In response to a strong interest in traditional western poetry and song, it sponsors the yearly National Cowboy Poetry Gathering beginning in 1984."
1990,The write-once CD-R becomes a commercial reality
1967,Three astronauts die in a fire in an Apollo space capsule at Cape Kennedy in Florida
1979,Three Mile Island nuclear reactor accident in Pennsylvania
1967,Thurgood Marshall becomes first African-American Supreme Court justice
1997,Tiger Woods wins his first Masters Golf Tournament
2018,Trump Addresses UN
2018,Trump Putin Meet in Helesinki
1999,U. S. cedes control of Panama Canal Zone to Panama
1993,"U. S. Holocaust Museum opens in Washington, D.C."
2001,U.S. and Great Britain Attack Afghanistan
1999,U.S. and NATO airstrikes against Serbian forces in Kosovo
1989,U.S. forces invade Panama; General Manuel Noriega will surrender in January 1990
1991,U.S. Supreme Court nominee Clarence Thomas and Professor Anita Hill appear before the Senate Judiciary Committee to address her accusations of sexual harassment by Thomas
1967,U.S. Supreme Court rules in Loving v. Virginia that states cannot ban interracial marriages
1973,U.S. Supreme Court rules in Roe v. Wade on constitutionality of abortion
1960,U-2 spy plane incident in which American pilot Francis Gary Powers was shot down in Soviet airspace
1998,Unabomber Ted Kaczynski sentenced to life imprisonment
1975,United States military academies first admit women
2010,US Combat Mission Ends in Iraq
2018,US North Korean Summit
2000,Vermont becomes the first state to legally recognize civil unions of same-sex couples
2020,Vice President Biden Becomes Presumptive Democratic Nominee
1973,Vice President Spiro Agnew resigns to avoid prosecution for bribery while governor of Maryland
1965,Voting Rights Act passed by U.S. Congress
1964,Warren Commission report concludes Lee Harvey Oswald acted alone in assassinating John F. Kennedy
1973,Watergate scandal becomes public
1965,Watts Riots in Los Angeles
1993,"William Jefferson ""Bill"" Clinton inaugurated as forty-second President of the U.S."
1969,Woodstock music festival in upstate New York
